"target","successful_runs","rtt_avg_min_ms","rtt_avg_max_ms","max_packet_loss_pct"
"192.168.120.1","2","0.25","5.503","0"
"192.168.120.61","2","4.579","6.18","0"
"192.168.20.1","4","0.24","5.066","0"
"192.168.20.60","1","0.25","0.25","0"
"192.168.26.143","1","4.937","4.937","0"
"192.168.26.148","1","4.432","4.432","0"
"192.168.70.142","1","0.248","0.248","0"
